Issue Type,Issue key,Issue id,Summary,Parent,Parent key,Parent summary,Priority,Status,Custom field (Story Points),Assignee,Assignee Id,Remaining Estimate,Time Spent,Sprint,Sprint.1,Sprint.2,Sprint.3,Sprint.4,Sprint.5,Sprint.6,Sprint.7,Sprint.8,Sprint.9,Sprint.10,Sprint.11,Sprint.12,Sprint.13,SP (Days),Rem (Secs),Spent (Secs),Rem (Days),Spent (Days),Calculated Rem (Days),Calculated Spent (Days)
Story,AWAMWRS-7459,2044211,[SG] Patch missing address for existing user on production,2672999.0,AWAMWRS-8314,[SG] KLO SG Production Fixes Q4 2025,Medium,Done,3.0,Oliver,712020:7b1c7c70-c493-4c02-b1c0-c3de2e6eb7ee,0.0,86400.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,3.0,75600.0,10800.0,2.625,0.375,0.0,3.0
Story,AWAMWRS-9173,3474283,[HK/PHOENIX] Investigate and fix incorrect population of Custom Annual Income field,3410301.0,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,Low,In progress,3.0,Harshini,712020:2bc93c6c-2a03-420c-8e96-3f81191898a1,68400.0,18000.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,3.0,68400.0,18000.0,2.375,0.625,2.375,0.625
Task,AWAMWRS-9261,3546597,[SG] Enhance the memory usage in AUM process,2769319.0,AWAMWRS-8390,[SG] SG Small Enhancements Q1 2026,High,In progress,3.0,Oliver,712020:7b1c7c70-c493-4c02-b1c0-c3de2e6eb7ee,57600.0,28800.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,3.0,57600.0,28800.0,2.0,1.0,2.0,1.0
Task,AWAMWRS-9217,3518587,[HK] KYC emails - follow up on KYC emails automation,3457373.0,AWAMWRS-9161,[HK KLO] L3 Production Support 2026 Q1,High,In progress,2.0,Ehsan,62d07096a94a6f9c0eff0ed7,57600.0,0.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,2.0,57600.0,0.0,2.0,0.0,2.0,0.0
Task,AWAMWRS-9171,3464416,Adhoc sending of KYC email DEC-JAN,3530385.0,AWAMWRS-9224,[HK] KYC Enhancement 2026 Follow Up Q1,TBD,In progress,2.0,Ezekiel,712020:666725b3-c6c2-46e6-8010-4a417a554ce1,57600.0,0.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,2.0,57600.0,0.0,2.0,0.0,2.0,0.0
Operational Support,AWAMWRS-9155,3438405,[HK] enhance CA GWAMPR_AWAM_HK_IFDF_MLY_NRD_IFLAC0001 to ignore not found PDF files,3410301.0,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,Medium,Done,3.0,Lishan,62ea83001323922c61e1ff04,0.0,86400.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,3.0,57600.0,86400.0,2.0,3.0,0.0,3.0
Task,AWAMWRS-9105,3399127,[HK] Design a fee calculation tool incorporating the required logic to ensure accurate fee computation for corporate client accounts.,3488197.0,AWAMWRS-9176,"[HK] Handling of Corporate Clients' all transaction including subscription, cash withdrawals, redemptions, and switching",Critical,Done,3.0,Dylan,6042517281a8400068f38991,0.0,86400.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,3.0,57600.0,7200.0,2.0,0.25,0.0,3.0
Story,AWAMWRS-9103,3386547,[HK/Phoenix] Amend the UI of Account Level Documents under edit mode of Individual Maintenance,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancment - Document Lists for Individual and Corp,TBD,In progress,8.0,Faye,62d070fabb346bdf82faed3a,57600.0,172800.0,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,8.0,57600.0,172800.0,2.0,6.0,2.0,6.0
Sub-task,AWAMWRS-9102,3386384,[HK/Phoenix] Adding new functions of deleting existing and adding new Controlling Person/Company Director/Authorized Signatory/Shareholder in-one-go maintenance under Corporate Maintenance,1691012.0,AWAMWRS-5770,[HK/Phoenix] All in one maintenance implementation,Critical,Done,5.0,Faye,62d070fabb346bdf82faed3a,0.0,144000.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,5.0,57600.0,86400.0,2.0,3.0,0.0,5.0
Task,AWAMWRS-9070,3336930,[SG] Incomplete data on EDL Transaction feed file,2672999.0,AWAMWRS-8314,[SG] KLO SG Production Fixes Q4 2025,Critical,In progress,5.0,Oliver,712020:7b1c7c70-c493-4c02-b1c0-c3de2e6eb7ee,57600.0,201600.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,5.0,57600.0,201600.0,2.0,7.0,2.0,7.0
Task,AWAMWRS-8650,2963761,[HK/Phoenix] Technical Fix for pending tasks/historical tasks,,,,TBD,Validating,3.0,Harshini,712020:2bc93c6c-2a03-420c-8e96-3f81191898a1,57600.0,28800.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,3.0,57600.0,28800.0,2.0,1.0,2.0,1.0
Story,AWAMWRS-9056,3300634,[HK] WRS Phoenix - Add validation for custom net worth value.,3410301.0,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,TBD,Validating,3.0,Harshini,712020:2bc93c6c-2a03-420c-8e96-3f81191898a1,43200.0,25200.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,3.0,43200.0,25200.0,1.5,0.875,1.5,0.875
Story,AWAMWRS-8788,3097347,[HK/data] Review tax remarks -part2,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,Critical,Validating,3.0,Ehsan,62d07096a94a6f9c0eff0ed7,36000.0,0.0,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,3.0,36000.0,0.0,1.25,0.0,1.25,0.0
Production Defect,AWAMWRS-9125,3424077,[HK] WRS Cash Withdrawal – Failed to Insert New DBA When it has Existing Bank Details with status Inactive,3410301.0,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,TBD,Validating,5.0,Louis,712020:4d5f11fe-a1af-4f5e-8313-baaacd68d147,28800.0,86400.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,5.0,28800.0,86400.0,1.0,3.0,1.0,3.0
Task,AWAMWRS-9112,3407564,[SG] Enhance aum process,2672999.0,AWAMWRS-8314,[SG] KLO SG Production Fixes Q4 2025,Critical,Done,3.0,Oliver,712020:7b1c7c70-c493-4c02-b1c0-c3de2e6eb7ee,0.0,86400.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,3.0,28800.0,86400.0,1.0,3.0,0.0,3.0
Story,AWAMWRS-8035,2424347,[HK/Phoenix] Adding more search criteria of Pending Task and Historical Task under Workflow,2884970.0,AWAMWRS-8511,[HK/Phoenix]  Phoenix General Function Enhancement (25Q4),Critical,Validating,5.0,Harshini,712020:2bc93c6c-2a03-420c-8e96-3f81191898a1,28800.0,115200.0,24 WRS.Sprint.2025.Dec.2,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,5.0,28800.0,115200.0,1.0,4.0,1.0,4.0
Story,AWAMWRS-7783,2298859,[HK/Phoenix] Day 2 Data Fields - Enhance Individual and Corporate Client Profile Tab,1767029.0,AWAMWRS-6257,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Phoenix Client Profile Tab Fields Update​,Critical,Validating,19.0,Faye,62d070fabb346bdf82faed3a,28800.0,604800.0,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,19.0,28800.0,604800.0,1.0,21.0,1.0,21.0
Story,AWAMWRS-7715,2226458,[HK/BAU] Combine Daily Fund Price Sheet Reports,3399128.0,AWAMWRS-9106,[HK]WRS Business Non BoW enhancements 2026 Q1,Medium,In progress,3.0,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,28800.0,144000.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,3.0,28800.0,144000.0,1.0,5.0,1.0,5.0
Story,AWAMWRS-5770,1691012,[HK/Phoenix] All in one maintenance implementation,2884970.0,AWAMWRS-8511,[HK/Phoenix]  Phoenix General Function Enhancement (25Q4),Critical,Validating,22.0,Faye,62d070fabb346bdf82faed3a,28800.0,633600.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,22.0,28800.0,633600.0,1.0,22.0,1.0,22.0
Task,AWAMWRS-9096,3357668,[HK/Tech] Migration from the legacy GitHub organization manulife-gwam to the Enterprise Managed Users (EMU) organization mfc-gwam.,3410346.0,AWAMWRS-9117,[Tech] Migration from the legacy GitHub organization manulife-gwam to the Enterprise Managed Users (EMU) organization mfc-gwam.,High,Done,5.0,Maximilien,632a13542eaaa5dcfa1199bf,0.0,144000.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,5.0,25200.0,90000.0,0.875,3.125,0.0,5.0
Story,AWAMWRS-9179,3488284,[HK] 2025 Dec Wrap Fee collection,3457373.0,AWAMWRS-9161,[HK KLO] L3 Production Support 2026 Q1,Critical,Done,1.0,Ehsan,62d07096a94a6f9c0eff0ed7,0.0,28800.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,1.0,14400.0,0.0,0.5,0.0,0.0,1.0
Task,AWAMWRS-8193,2557304,[HK/Phoenix/Tech] Patch unexpected null assesssment_question_id and null response in client_assessment_results table,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,High,Validating,3.0,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,14400.0,136800.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,3.0,14400.0,136800.0,0.5,4.75,0.5,4.75
Story,AWAMWRS-7923,2387110,[HK/Phoenix] Client Red Flag/PEP/Country Risk Form’s Historical Table (backend),1879943.0,AWAMWRS-6972,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Red Flag PEP/Country Risk,High,Validating,5.0,Lishan,62ea83001323922c61e1ff04,14400.0,0.0,16 WRS.Sprint.2025.Aug.12,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,5.0,14400.0,0.0,0.5,0.0,0.5,0.0
Task,AWAMWRS-9174,3474632,[HK] Data-patch to leave only 1 active RPQ per client(remained record clean created after 2025-12-31),2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,TBD,Done,2.0,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,0.0,57600.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,2.0,7200.0,7200.0,0.25,0.25,0.0,2.0
Story,AWAMWRS-6999,1890337,[HK/Phoenix] Build new V3 API for Client Merge,1693723.0,AWAMWRS-5796,[HK/Phoenix] Client Merge/Client Clone process Enhancements (Day 2 Process Enhancement ),Critical,Done,5.0,Dylan,6042517281a8400068f38991,0.0,144000.0,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,5.0,7200.0,194400.0,0.25,6.75,0.0,5.0
Story,AWAMWRS-9122,3423987,[HK/data] Review Self-Cert form date,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,High,Validating,5.0,Ehsan,62d07096a94a6f9c0eff0ed7,3600.0,64800.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,5.0,3600.0,64800.0,0.125,2.25,0.125,2.25
Story,AWAMWRS-9023,3278548,[HK/Phoenix] Improvement of Client merge Process ,1693723.0,AWAMWRS-5796,[HK/Phoenix] Client Merge/Client Clone process Enhancements (Day 2 Process Enhancement ),High,Done,5.0,Dylan,6042517281a8400068f38991,0.0,144000.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,5.0,3600.0,162000.0,0.125,5.625,0.0,5.0
Task,AWAMWRS-8919,3194432,[SG] Enhance payment details information,3194262.0,AWAMWRS-8913,[SG] Account opening enhancement to support M360,High,In progress,3.0,Grant,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,3600.0,90000.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,3.0,3600.0,90000.0,0.125,3.125,0.125,3.125
Story,AWAMWRS-8309,2654266,[Phoenix/HK] Corporate Client Maintenance Failed to save draft when calculate red flag is not clicked,1879943.0,AWAMWRS-6972,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Red Flag PEP/Country Risk,High,Done,1.0,Ricky,5f9f5acf81b2880078e15c88,0.0,28800.0,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,1.0,3600.0,3600.0,0.125,0.125,0.0,1.0
Story,AWAMWRS-9162,3457401,[HK/SG] Prepare tests for CDM Message Bus,3407355.0,AWAMWRS-9109,[WRS] 2025-26 DR Extension 2026,TBD,Done,2.0,Sunil,6281c0cbbdf2f30067d1f93a,0.0,57600.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,2.0,900.0,29700.0,0.03125,1.03125,0.0,2.0
Task,AWAMWRS-9286,3556498,[SG] Support missing agent in WRS,3399132.0,GWAMAWAM-12943,[SG] 2026 Q1 Production Support,Critical,Done,1.0,Dylan,6042517281a8400068f38991,0.0,28800.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,1.0,0.0,21600.0,0.0,0.75,0.0,1.0
Task,AWAMWRS-9216,3518257,Put etl-config secrets into akv,3463760.0,AWAMWRS-9165,[HK] Application Modernisation,TBD,In progress,13.0,Maximilien,632a13542eaaa5dcfa1199bf,0.0,28800.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,13.0,0.0,28800.0,0.0,1.0,0.0,1.0
Story,AWAMWRS-9211,3503208,Prepare confluence page for PEP/ Country Risk Tab,1879943.0,AWAMWRS-6972,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Red Flag PEP/Country Risk,TBD,Done,1.0,Ricky,5f9f5acf81b2880078e15c88,0.0,28800.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Enabler,AWAMWRS-9178,3488204,[HK] Tech impact analysis - redemption,3488197.0,AWAMWRS-9176,"[HK] Handling of Corporate Clients' all transaction including subscription, cash withdrawals, redemptions, and switching",TBD,Done,1.0,Paddy,60467f23116c460070d87237,0.0,28800.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,1.0,0.0,14400.0,0.0,0.5,0.0,1.0
Task,AWAMWRS-9160,3456785,[HK] To do one time job to fix Missing Transactions from AML feeds,1584910.0,AWAMWRS-5126,[KLO] L3 Production Support 2025 Q1,Critical,Done,2.0,Dylan,6042517281a8400068f38991,0.0,57600.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,2.0,0.0,28800.0,0.0,1.0,0.0,2.0
Story,AWAMWRS-9157,3456237,[HK] WRS/SG Release 20260115,3488321.0,AWAMWRS-9180,WRS Weekly Release 20260115,TBD,Done,2.0,Sunil,6281c0cbbdf2f30067d1f93a,0.0,57600.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,2.0,0.0,88800.0,0.0,3.0833333333333335,0.0,2.0
Enabler,AWAMWRS-9154,3437842,[HK] submission by 16/Jan,3170964.0,AWAMWRS-8858,[HK] EY IT Audit 25/26,High,Done,5.0,Paddy,60467f23116c460070d87237,0.0,144000.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,5.0,0.0,100800.0,0.0,3.5,0.0,5.0
Task,AWAMWRS-9152,3433123,WRS Weekly Release 20260108,3399129.0,GWAMAWAM-12940,[HK] 2026 Q1 Production Support,High,Done,2.0,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,0.0,57600.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,2.0,0.0,57600.0,0.0,2.0,0.0,2.0
Story,AWAMWRS-9114,3408190,[HK] Show investment-holding in monthly-statement when holding units > 0 and NAV = 0,3408188.0,AWAMWRS-9113,[HK] Business Enhancement - MIC special Handling for MGF Emerging Eastern Europe,Critical,Done,5.0,Paddy,60467f23116c460070d87237,0.0,144000.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,5.0,0.0,158400.0,0.0,5.5,0.0,5.0
Story,AWAMWRS-9095,3343226,[SG] PEP Information to support occupation and source of wealth/fund,3194262.0,AWAMWRS-8913,[SG] Account opening enhancement to support M360,High,In progress,8.0,Louis,712020:4d5f11fe-a1af-4f5e-8313-baaacd68d147,0.0,489600.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,8.0,0.0,489600.0,0.0,17.0,0.0,17.0
Task,AWAMWRS-9071,3336974,[SG] TFI/TFO to be tagged as Subscription/Redemption in EDL Transaction feed,2769319.0,AWAMWRS-8390,[SG] SG Small Enhancements Q1 2026,Critical,Done,1.0,Oliver,712020:7b1c7c70-c493-4c02-b1c0-c3de2e6eb7ee,0.0,28800.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,1.0,0.0,3600.0,0.0,0.125,0.0,1.0
Story,AWAMWRS-9067,3336649,[HK/SG] Prepare tests for DR,3407355.0,AWAMWRS-9109,[WRS] 2025-26 DR Extension 2026,Medium,Done,2.0,Sunil,6281c0cbbdf2f30067d1f93a,0.0,57600.0,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,2.0,0.0,97200.0,0.0,3.375,0.0,2.0
Task,AWAMWRS-9063,3324614,[HK] Endpoint /api/v3/kyc/calculate-next-refresh-date often causes pod restarting because of memory outage,2605660.0,AWAMWRS-8249,[KLO] 2026 Production Fix Backlog,High,Done,3.0,Ehsan,62d07096a94a6f9c0eff0ed7,0.0,86400.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,3.0,0.0,39600.0,0.0,1.375,0.0,3.0
Story,AWAMWRS-9055,3295774,[HK] Fix CSV file can not generate data in Prod,3410301.0,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,High,Done,3.0,Lishan,62ea83001323922c61e1ff04,0.0,86400.0,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,3.0,0.0,86400.0,0.0,3.0,0.0,3.0
Task,AWAMWRS-9028,3285278,[HK] Inactive existing RPQ when legacy-migration,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,Critical,Done,5.0,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,0.0,144000.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,5.0,0.0,129600.0,0.0,4.5,0.0,5.0
Task,AWAMWRS-9027,3285275,"[HK] Create RPQ when ""reuse previous RPQ in IFUNDS""",2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,TBD,Done,3.0,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,0.0,86400.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,3.0,0.0,129600.0,0.0,4.5,0.0,3.0
Task,AWAMWRS-9026,3285272,[HK] Data-patch to leave only 1 active RPQ per client,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,TBD,Done,2.0,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,0.0,57600.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,2.0,0.0,36000.0,0.0,1.25,0.0,2.0
Story,AWAMWRS-9022,3278545,[HK/Phoenix] Build chipmunk api for client merge,1693723.0,AWAMWRS-5796,[HK/Phoenix] Client Merge/Client Clone process Enhancements (Day 2 Process Enhancement ),Critical,Done,3.0,Dylan,6042517281a8400068f38991,0.0,86400.0,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,3.0,0.0,86400.0,0.0,3.0,0.0,3.0
Story,AWAMWRS-9012,3239984,[HK/Phoenix] Individual - Create the UI of Individual Client Document List Tab,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancment - Document Lists for Individual and Corp,High,Validating,5.0,Faye,62d070fabb346bdf82faed3a,0.0,0.0,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Story,AWAMWRS-8928,3218869,[HK/Phoenix]: Technical Fix Phoenix Edge case: Empty tax info leading to error in corporate client clone feature ,,,,Medium,Done,5.0,Louis,712020:4d5f11fe-a1af-4f5e-8313-baaacd68d147,0.0,144000.0,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,5.0,0.0,57600.0,0.0,2.0,0.0,5.0
Task,AWAMWRS-8917,3194425,[SG] Update source of wealth choice list,3194262.0,AWAMWRS-8913,[SG] Account opening enhancement to support M360,High,Validating,1.0,Louis,712020:4d5f11fe-a1af-4f5e-8313-baaacd68d147,0.0,28800.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,1.0,0.0,28800.0,0.0,1.0,0.0,1.0
Operational Support,AWAMWRS-8865,3176420,[HK] Legacy orders from WWS missing processed_date in WRS,3410301.0,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,Medium,Done,3.0,Lishan,62ea83001323922c61e1ff04,0.0,86400.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,3.0,0.0,201600.0,0.0,7.0,0.0,3.0
Task,AWAMWRS-8757,3081453,[HK] Enhancing the existing batch job to load P/L data (new) to WRS to facilitate iFUNDS Advisory function,3530319.0,AWAMWRS-9222,[HK/Biz/Ops] To support iFUNDS Enhancement on BB4 dashboard - Phase Batch Updates / Data Loading 2026 Extension,High,Done,5.0,Grant,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,0.0,144000.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,5.0,0.0,201600.0,0.0,7.0,0.0,5.0
Task,AWAMWRS-8740,3064621,[HK] Re-enable Automated Emails for KYC Reactivation,3530385.0,AWAMWRS-9224,[HK] KYC Enhancement 2026 Follow Up Q1,High,Validating,3.0,Ezekiel,712020:666725b3-c6c2-46e6-8010-4a417a554ce1,0.0,201600.0,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,3.0,0.0,201600.0,0.0,7.0,0.0,7.0
Story,AWAMWRS-8658,2965781,[HK/Phoenix] Individual onboarding and maintenance - Enhance the Phoenix B/E Logic  to support ,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancment - Document Lists for Individual and Corp,High,Validating,5.0,Faye,62d070fabb346bdf82faed3a,0.0,0.0,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Story,AWAMWRS-8657,2965734,[HK/Phoenix] Enhance the existing V3 Get kyc-documents API to return current document data and historical document data,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancment - Document Lists for Individual and Corp,High,Validating,3.0,Lishan,62ea83001323922c61e1ff04,0.0,0.0,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Story,AWAMWRS-8655,2965728,[HK/Phoenix] Create a new V3 Patch client kyc document API to update the document list data,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancment - Document Lists for Individual and Corp,High,Validating,5.0,Lishan,62ea83001323922c61e1ff04,0.0,0.0,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0
