Issue Type,Issue key,Issue id,Summary,Parent,Parent key,Parent summary,Priority,Status,Custom field (Story Points),Assignee,Assignee Id,Remaining Estimate,Time Spent,Sprint,Sprint.1,Sprint.2,Sprint.3,Sprint.4,Sprint.5,Sprint.6,Sprint.7,Sprint.8,Sprint.9,Sprint.10,Sprint.11,Sprint.12,SP (Days),Rem (Secs),Spent (Secs),Rem (Days),Spent (Days),Calculated Rem (Days),Calculated Spent (Days)
Task,AWAMWRS-9336,3602075,[SG] Nav refresh failed because of duplicate ISIN code,3679917.0,AWAMWRS-9419,[SG] KLO SG Production Fixes Q1 2026,Critical,Validating,5.0,Nick,712020:166d0b2c-d022-4480-b4dc-62b0e4209690,28800.0,115200.0,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,5.0,28800.0,115200.0,1.0,4.0,1.0,4.0
Story,AWAMWRS-9163,2332445,"[HK] Frontend, workflow and audit for corporate action shareholder notification (DEV/UAT)",2352489.0,AWAMWRS-7851,[HK/Ops] Integrate of  Fund notices process / Dealing suspension with user frontend,Critical,Validating,11.0,Nick,712020:166d0b2c-d022-4480-b4dc-62b0e4209690,28800.0,374400.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,11.0,28800.0,374400.0,1.0,13.0,1.0,13.0
Task,AWAMWRS-9335,3602016,[HK/SG] WRS release 20260205,,,,TBD,Done,2.0,Oliver,712020:7b1c7c70-c493-4c02-b1c0-c3de2e6eb7ee,0.0,57600.0,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,2.0,,0.0,,0.0,0.0,2.0
Task,AWAMWRS-9221,3523820,[SG] Handle full sell out for holding and aum products,2769319.0,AWAMWRS-8390,[SG] SG Small Enhancements Q1 2026,Critical,To Do,5.0,Oliver,712020:7b1c7c70-c493-4c02-b1c0-c3de2e6eb7ee,144000.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,5.0,,0.0,,0.0,5.0,0.0
Task,AWAMWRS-9314,3581478,[SG] Enhancement on job Load Redemption created from PSPL ,2769319.0,AWAMWRS-8390,[SG] SG Small Enhancements Q1 2026,Critical,In progress,5.0,Oliver,712020:7b1c7c70-c493-4c02-b1c0-c3de2e6eb7ee,57600.0,115200.0,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,5.0,57600.0,115200.0,2.0,4.0,2.0,4.0
Task,AWAMWRS-9070,3336930,[SG] Incomplete data on EDL Transaction feed file,3679917.0,AWAMWRS-9419,[SG] KLO SG Production Fixes Q1 2026,Critical,Validating,10.0,Oliver,712020:7b1c7c70-c493-4c02-b1c0-c3de2e6eb7ee,57600.0,489600.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,10.0,57600.0,489600.0,2.0,17.0,2.0,17.0
Story,AWAMWRS-9433,3688464,[HK] IFDF decommission - admin,3688572.0,AWAMWRS-9437,[HK] Decommission Management - IF Data Feed Management System (IFDF) - GWAM-Asia Wealth,TBD,In progress,5.0,Paddy,60467f23116c460070d87237,144000.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,5.0,,0.0,,0.0,5.0,0.0
Story,AWAMWRS-9491,3720414,[HK] IFDF decommission - CA Tag change,3688572.0,AWAMWRS-9437,[HK] Decommission Management - IF Data Feed Management System (IFDF) - GWAM-Asia Wealth,High,Done,2.0,Paddy,60467f23116c460070d87237,0.0,57600.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,2.0,0.0,72000.0,0.0,2.5,0.0,2.0
Task,AWAMWRS-9480,3690161,GWAMAWAM-14152,3457373.0,AWAMWRS-9161,[HK KLO] L3 Production Support 2026 Q1,Critical,Done,1.0,Paddy,60467f23116c460070d87237,0.0,28800.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,1.0,0.0,28800.0,0.0,1.0,0.0,1.0
Task,AWAMWRS-9422,3680191,[HK] submission by 13/Feb,3170964.0,AWAMWRS-8858,[HK] EY IT Audit 25/26,TBD,In progress,2.0,Paddy,60467f23116c460070d87237,0.0,43200.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,2.0,0.0,43200.0,0.0,1.5,0.0,1.5
Story,AWAMWRS-8984,3232247,[HK/Phoenix] Enhance the UI of Individual and Corporate Account Tab,2406916.0,AWAMWRS-7996,[HK/Phoenix] Account Tab/Account Maintenance (Day 2 Data Fields/Process Enhancement ),Critical,To Do,5.0,Ricky,5f9f5acf81b2880078e15c88,144000.0,0.0,01 WRS.Sprint.2026.Jan.23,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,5.0,,0.0,,0.0,5.0,0.0
Story,AWAMWRS-7715,2226458,[HK/BAU] Combine Daily Fund Price Sheet Reports,3399128.0,AWAMWRS-9106,[HK]WRS Business Non BoW enhancements 2026 Q1,Medium,In progress,8.0,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,144000.0,165600.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,03 WRS.Sprint.2026.Feb.27,,,,,,,,,8.0,144000.0,165600.0,5.0,5.75,5.0,5.75
Operational Support,AWAMWRS-9407,3651650,"[HK/WRs] RCA/fix for Multiple V3 endpoints returning ""Object reference not set to an instance of an object"" error",3410301.0,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,Critical,Validating,3.0,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,72000.0,28800.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,3.0,72000.0,28800.0,2.5,1.0,2.5,1.0
Production Defect,AWAMWRS-9159,3456264,HK: [RCA] IFUNDS Subscription with Solicited trade missing odertransactionId in the client assesment FSR,3410301.0,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,High,Validating,3.0,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,28800.0,14400.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,3.0,28800.0,14400.0,1.0,0.5,1.0,0.5
Task,AWAMWRS-8193,2557304,[HK/Phoenix/Tech] Patch unexpected null assesssment_question_id and null response in client_assessment_results table,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,High,Validating,3.0,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,28800.0,151200.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,3.0,28800.0,151200.0,1.0,5.25,1.0,5.25
Story,AWAMWRS-8747,3066041,[HK] CAP: Ensure Full Legal Name match Last time First Name format (Part 3),2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,Critical,In progress,5.0,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,3600.0,129600.0,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,5.0,3600.0,129600.0,0.125,4.5,0.125,4.5
Story,AWAMWRS-9164,3463716,"[HK] Set EEEAA ""Gain/Loss %"" to 0 in monthly-statement investment-holdings grid",3408188.0,AWAMWRS-9113,[HK] Business Enhancement - MIC special Handling for MGF Emerging Eastern Europe,High,Done,5.0,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,0.0,144000.0,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,5.0,0.0,104400.0,0.0,3.625,0.0,5.0
Story,AWAMWRS-7960,2392751,[HK/Reporting] Operation Reporting (Country Risk Changes) (Internal Reporting Day 2),3192904.0,AWAMWRS-8910,[HK] 2026 Ops Reporting and Workflow (Part 2 WRS/WMDA),TBD,To Do,3.0,Stephen,712020:1b3c7415-dfe6-416d-8f93-dc64e9ff7c57,86400.0,0.0,21 WRS.Sprint.2025.Oct.21,01 WRS.Sprint.2026.Jan.23,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,3.0,,0.0,,0.0,3.0,0.0
Story,AWAMWRS-9431,3688424,[WRS DR] SYNK Scan exemptions for Annamalai,,,,TBD,To Do,1.0,Sunil,6281c0cbbdf2f30067d1f93a,28800.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,1.0,,0.0,,0.0,1.0,0.0
Task,AWAMWRS-7911,2379293,[HK/Phoenix] Tech clarifications on Client Red Flag/PEP/Country Risk Form’s,1879943.0,AWAMWRS-6972,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Red Flag PEP/Country Risk,High,Validating,3.0,Sunil,6281c0cbbdf2f30067d1f93a,7200.0,57600.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,3.0,7200.0,57600.0,0.25,2.0,0.25,2.0
Story,AWAMWRS-9492,3720438,[HK] Test Documenation for KYC Emails,3530385.0,AWAMWRS-9224,[HK] KYC Enhancement 2026 Follow Up Q1,TBD,In progress,2.0,Sunil,6281c0cbbdf2f30067d1f93a,0.0,18000.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,2.0,0.0,18000.0,0.0,0.625,0.0,0.625
Story,AWAMWRS-9429,3684815,[WRS/Modern] Automate setup for WRE,3463760.0,AWAMWRS-9165,[WRS/Modern] Application Modernisation,Medium,To Do,2.0,Sunil,6281c0cbbdf2f30067d1f93a,57600.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,2.0,0.0,3600.0,0.0,0.125,2.0,0.0
Task,AWAMWRS-9421,3680189,[HK/SG] WRS release 20260212,3689148.0,AWAMWRS-9458,WRS Weekly Release 20260212,TBD,Done,2.0,Sunil,6281c0cbbdf2f30067d1f93a,0.0,57600.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,2.0,0.0,46800.0,0.0,1.625,0.0,2.0
Story,AWAMWRS-9416,3679039,[WRS] Investigate Network Latency,2604617.0,AWAMWRS-8244,[WRS] 2025-26 DR,Medium,Validating,2.0,Sunil,6281c0cbbdf2f30067d1f93a,0.0,30600.0,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,2.0,0.0,30600.0,0.0,1.0625,0.0,1.0625
